id,participant_type,participant_group,duration,sessions,d1_reading_time,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d1_q6,d1_rate,d1_correctness,d1_insecurity,d1_insecurity_count,d2_reading_time,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d2_q6,d2_rate,d2_correctness,d2_insecurity,d2_insecurity_count,age_range,education_fields,education_level,employment,employment_fields,italian_knowledge,exclusion_reason
UEFSVEVDSVBBTlRFXzE0Mw==,REGULAR,A,72929,3,939.489,1.0,2.0,1.0,4.0,,3.0,3.0,2,False,0,500.884,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4,False,0,55-64,OTHER,HIGH,EMPLOYEE,OTHER,M,DATA ERROR
UEFSVEVDSVBBTlRFXzE0NA==,REGULAR,B,4702,3,3716.543,1.0,1.0,2.0,1.0,2.0,1.0,3.0,4,False,0,463.543,1.0,4.0,3.0,2.0,1.0,1.0,3.0,3,False,0,35-44,HUMANISTIC,HIGH,EMPLOYEE,OTHER,M,
UEFSVEVDSVBBTlRFXzE0Ng==,REGULAR,D,992,1,431.915,1.0,3.0,1.0,1.0,1.0,1.0,4.0,5,False,0,256.1,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,45-54,HUMANISTIC,MASTER,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzE0NQ==,REGULAR,A,803,1,322.057,1.0,3.0,2.0,1.0,2.0,1.0,4.0,3,False,0,216.579,1.0,4.0,1.0,1.0,3.0,1.0,4.0,4,False,0,55-64,HUMANISTIC,MASTER,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzE0Nw==,REGULAR,C,6663,5,226.014,1.0,5.0,2.0,4.0,1.0,5.0,3.0,2,True,2,827.911,1.0,4.0,3.0,4.0,5.0,2.0,3.0,1,True,1,65+,JURIDICAL,MASTER,RETIRED,OTHER,M,BOTH CONTROL QUESTION
UEFSVEVDSVBBTlRFXzE0OQ==,REGULAR,D,654,1,267.995,2.0,4.0,2.0,3.0,4.0,5.0,3.0,0,True,1,142.988,5.0,2.0,3.0,4.0,5.0,2.0,2.0,0,True,2,45-54,HUMANISTIC,MASTER,EMPLOYEE,OTHER,M,BOTH CONTROL QUESTION
UEFSVEVDSVBBTlRFXzE1MA==,REGULAR,A,-9223372037,0,0.0,,,,,,,,0,False,0,0.0,,,,,,,,0,False,0,18-24,HUMANISTIC,HIGH,STUDENT,OTHER,M,NOT TERMINATED
UEFSVEVDSVBBTlRFXzE1Mg==,REGULAR,C,797,1,237.468,1.0,3.0,4.0,2.0,1.0,1.0,2.0,3,False,0,223.866,1.0,4.0,1.0,1.0,2.0,1.0,2.0,4,False,0,45-54,JURIDICAL,BACHELOR,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzE1MQ==,REGULAR,B,2008,1,616.361,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,464.865,1.0,4.0,1.0,3.0,1.0,1.0,4.0,4,False,0,35-44,ENGINEERING,MASTER,EMPLOYEE,IT,M,
UEFSVEVDSVBBTlRFXzE1Mw==,REGULAR,A,1684,1,602.265,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5,False,0,384.498,1.0,4.0,1.0,2.0,1.0,1.0,3.0,4,False,0,55-64,SCIENTIFIC,MASTER,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzE1NA==,REGULAR,C,3339,1,2371.154,1.0,2.0,2.0,3.0,1.0,5.0,3.0,2,True,1,273.896,1.0,4.0,1.0,2.0,1.0,1.0,4.0,4,False,0,45-54,OTHER,HIGH,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzE1Ng==,REGULAR,A,1138,1,402.916,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6,False,0,314.487,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4,False,0,25-34,JURIDICAL,MASTER,EMPLOYEE,OTHER,M,
UEFSVEVDSVBBTlRFXzE1NQ==,REGULAR,A,693,1,453.415,1.0,3.0,1.0,1.0,2.0,3.0,3.0,3,False,0,0.0,,,,,,,,0,False,0,65+,EDUCATION,HIGH,RETIRED,EDUCATION,M,DATA ERROR
UEFSVEVDSVBBTlRFXzE1Nw==,REGULAR,B,869,2,302.734,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5,False,0,268.915,1.0,1.0,4.0,1.0,3.0,2.0,2.0,3,False,0,55-64,HUMANISTIC,HIGH,OTHER,EDUCATION,M,
UEFSVEVDSVBBTlRFXzE1OQ==,REGULAR,D,-9223372037,1,0.0,,,,,,,,0,False,0,193.741,1.0,3.0,4.0,1.0,2.0,1.0,,3,False,0,55-64,HUMANISTIC,HIGH,OTHER,EDUCATION,M,NOT TERMINATED
UEFSVEVDSVBBTlRFXzE2,ADMINISTRATIVE,B,1174,1,371.384,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6,False,0,405.668,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,55-64,HUMANISTIC,PHD,EMPLOYEE,ADMINISTRATIVE,M,
UEFSVEVDSVBBTlRFXzE2Mg==,REGULAR,D,1123,1,230.222,2.0,3.0,3.0,1.0,1.0,3.0,4.0,2,False,0,439.564,5.0,4.0,2.0,4.0,1.0,1.0,3.0,2,True,1,55-64,EDUCATION,HIGH,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzE2MQ==,REGULAR,D,-9223372037,1,146.793,1.0,,1.0,5.0,,,,2,True,1,364.299,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5,False,0,35-44,OTHER,BACHELOR,EMPLOYEE,OTHER,M,NOT TERMINATED
UEFSVEVDSVBBTlRFXzE2Mw==,REGULAR,D,991,1,272.604,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4,False,0,352.82,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4,False,0,25-34,JURIDICAL,MASTER,UNEMPLOYED,OTHER,M,
UEFSVEVDSVBBTlRFXzE2NA==,REGULAR,B,679,1,159.655,1.0,2.0,4.0,3.0,1.0,1.0,4.0,3,False,0,176.107,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5,False,0,25-34,SCIENTIFIC,MASTER,EMPLOYEE,HEALTH,M,
UEFSVEVDSVBBTlRFXzE2Ng==,REGULAR,B,1688,2,446.224,,1.0,2.0,1.0,1.0,1.0,3.0,4,False,0,577.373,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6,False,0,35-44,EDUCATION,MASTER,EMPLOYEE,EDUCATION,M,DATA ERROR
UEFSVEVDSVBBTlRFXzE2OA==,REGULAR,C,2313,1,347.671,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,897.099,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6,False,0,45-54,HUMANISTIC,HIGH,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzE3,ADMINISTRATIVE,A,1637,1,1099.055,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6,False,0,165.043,1.0,1.0,3.0,2.0,1.0,1.0,3.0,4,False,0,45-54,OTHER,HIGH,EMPLOYEE,ARTISTIC,M,
UEFSVEVDSVBBTlRFXzE3MA==,REGULAR,C,2782,1,519.343,1.0,5.0,1.0,5.0,1.0,1.0,4.0,4,True,2,583.996,1.0,4.0,1.0,2.0,1.0,1.0,4.0,4,False,0,25-34,HUMANISTIC,PHD,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzE3Mg==,REGULAR,B,332,1,107.631,2.0,1.0,1.0,4.0,5.0,3.0,3.0,2,True,1,54.25,3.0,5.0,5.0,5.0,5.0,3.0,5.0,0,True,4,45-54,HUMANISTIC,PHD,EMPLOYEE,EDUCATION,M,LOW TIME
UEFSVEVDSVBBTlRFXzE3MQ==,REGULAR,D,1450,1,453.26,1.0,3.0,2.0,3.0,1.0,1.0,3.0,3,False,0,494.138,2.0,5.0,1.0,2.0,4.0,1.0,3.0,2,True,1,65+,SCIENTIFIC,MASTER,RETIRED,EDUCATION,M,
UEFSVEVDSVBBTlRFXzE3Mw==,REGULAR,A,165383,5,165360.936,3.0,4.0,3.0,1.0,5.0,3.0,4.0,1,True,1,8.419,3.0,,4.0,5.0,,5.0,5.0,0,True,2,35-44,HUMANISTIC,PHD,EMPLOYEE,EDUCATION,M,DATA ERROR
UEFSVEVDSVBBTlRFXzE3Ng==,REGULAR,C,84237,1,83754.567,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3,False,0,293.187,1.0,1.0,4.0,1.0,1.0,1.0,3.0,5,False,0,45-54,HUMANISTIC | ARTISTIC,BACHELOR,EMPLOYEE,OTHER,M,MANUALLY
UEFSVEVDSVBBTlRFXzE3Nw==,REGULAR,D,1065,1,322.026,2.0,3.0,1.0,1.0,5.0,1.0,4.0,3,True,1,373.149,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4,False,0,45-54,HUMANISTIC,BACHELOR,EMPLOYEE,OTHER,M,
UEFSVEVDSVBBTlRFXzEwMg==,REGULAR,C,1105,1,458.902,1.0,3.0,1.0,2.0,1.0,1.0,3.0,4,False,0,251.036,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5,False,0,35-44,HEALTH,MASTER,EMPLOYEE,OTHER,M,
UEFSVEVDSVBBTlRFXzEwNA==,REGULAR,D,882,2,89.994,2.0,4.0,3.0,3.0,3.0,1.0,5.0,1,False,0,924.943,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5,False,0,35-44,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M,MANUALLY
UEFSVEVDSVBBTlRFXzEwNg==,REGULAR,D,1501,1,701.797,1.0,2.0,4.0,1.0,1.0,5.0,4.0,3,True,1,378.744,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5,False,0,25-34,ENGINEERING,BACHELOR,STUDENT,IT,M,
UEFSVEVDSVBBTlRFXzEwNQ==,REGULAR,B,561,1,160.699,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,185.787,1.0,3.0,1.0,3.0,1.0,1.0,3.0,4,False,0,25-34,ENGINEERING,MASTER,STUDENT,HEALTH | IT,M,LOW TIME
UEFSVEVDSVBBTlRFXzEwNw==,REGULAR,D,50576,2,49457.451,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4,False,0,-48381.822,1.0,4.0,1.0,2.0,1.0,1.0,3.0,4,False,0,18-24,JURIDICAL,HIGH,EMPLOYEE,SALES,M,NEGATIVE READING TIME
UEFSVEVDSVBBTlRFXzEwOQ==,REGULAR,C,1563,1,580.778,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6,False,0,469.07,1.0,4.0,1.0,3.0,1.0,1.0,3.0,4,False,0,25-34,ENGINEERING,BACHELOR,EMPLOYEE,IT,M,
UEFSVEVDSVBBTlRFXzExMA==,REGULAR,D,1793,2,533.376,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,-89.873,1.0,4.0,1.0,2.0,1.0,1.0,2.0,4,False,0,35-44,ENGINEERING,MASTER,EMPLOYEE,IT,M,NEGATIVE READING TIME
UEFSVEVDSVBBTlRFXzExMg==,REGULAR,A,6275,1,5036.739,1.0,3.0,1.0,1.0,2.0,1.0,3.0,4,False,0,506.345,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,25-34,HUMANISTIC,MASTER,STUDENT,EDUCATION | ARTISTIC,M,
UEFSVEVDSVBBTlRFXzExMQ==,REGULAR,C,4158,1,2964.639,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,595.199,1.0,1.0,4.0,2.0,1.0,1.0,3.0,4,False,0,25-34,HEALTH,MASTER,OTHER,HEALTH,M,
UEFSVEVDSVBBTlRFXzExMw==,REGULAR,D,1033,1,455.043,3.0,3.0,4.0,3.0,1.0,1.0,4.0,2,False,0,275.819,1.0,4.0,1.0,1.0,1.0,2.0,3.0,4,False,0,25-34,ENGINEERING,MASTER,EMPLOYEE,IT,M,
UEFSVEVDSVBBTlRFXzExNg==,REGULAR,B,1206,2,208.4,1.0,2.0,4.0,1.0,1.0,1.0,2.0,4,False,0,257.968,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,25-34,HUMANISTIC | EDUCATION,MASTER,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzExNQ==,REGULAR,A,800,1,242.663,1.0,3.0,2.0,1.0,2.0,1.0,2.0,3,False,0,252.674,1.0,4.0,1.0,3.0,1.0,2.0,2.0,3,False,0,25-34,ENGINEERING,MASTER,STUDENT,IT,M,
UEFSVEVDSVBBTlRFXzExNw==,REGULAR,C,1402,1,407.378,1.0,3.0,1.0,1.0,1.0,1.0,4.0,5,False,0,589.658,1.0,1.0,1.0,2.0,1.0,1.0,4.0,5,False,0,25-34,HUMANISTIC,MASTER,OTHER,EDUCATION,M,
UEFSVEVDSVBBTlRFXzExOA==,REGULAR,C,1001,1,155.115,1.0,1.0,1.0,4.0,1.0,1.0,2.0,5,False,0,467.308,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,25-34,HEALTH,MASTER,EMPLOYEE,HEALTH,M,
UEFSVEVDSVBBTlRFXzExOQ==,REGULAR,B,1268,1,378.757,1.0,3.0,2.0,3.0,1.0,1.0,3.0,3,False,0,374.026,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5,False,0,25-34,ENGINEERING,MASTER,EMPLOYEE,IT,M,
UEFSVEVDSVBBTlRFXzEyMA==,REGULAR,A,1474,1,542.914,1.0,3.0,2.0,1.0,1.0,1.0,5.0,4,False,0,429.39,1.0,4.0,2.0,2.0,1.0,1.0,2.0,3,False,0,25-34,ENGINEERING,MASTER,STUDENT,IT,M,
UEFSVEVDSVBBTlRFXzEyMg==,REGULAR,B,1170,1,252.307,1.0,3.0,1.0,4.0,2.0,1.0,3.0,3,False,0,349.062,1.0,4.0,1.0,1.0,1.0,1.0,3.0,5,False,0,35-44,JURIDICAL,BACHELOR,EMPLOYEE,OTHER,M,
UEFSVEVDSVBBTlRFXzEyMw==,REGULAR,A,1162,1,408.541,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5,False,0,274.132,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5,False,0,35-44,ENGINEERING,MASTER,EMPLOYEE,OTHER,M,
UEFSVEVDSVBBTlRFXzEyNg==,REGULAR,C,29598,4,701.661,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5,False,0,38738.509,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,18-24,ARTISTIC,BACHELOR,STUDENT,OTHER,M,MANUALLY
UEFSVEVDSVBBTlRFXzEyNQ==,REGULAR,C,65,1,4.178,2.0,3.0,2.0,1.0,4.0,1.0,3.0,2,False,0,16.357,1.0,4.0,3.0,4.0,2.0,1.0,1.0,2,False,0,35-44,OTHER,HIGH,EMPLOYEE,OTHER,M,LOW TIME
UEFSVEVDSVBBTlRFXzEyOA==,REGULAR,C,928,1,283.346,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4,False,0,305.133,1.0,4.0,2.0,1.0,5.0,2.0,3.0,2,True,1,25-34,OTHER,HIGH,EMPLOYEE,OTHER,M,
UEFSVEVDSVBBTlRFXzEzMA==,REGULAR,B,1282,1,342.208,1.0,3.0,1.0,3.0,1.0,1.0,3.0,4,False,0,375.182,1.0,1.0,1.0,5.0,1.0,1.0,4.0,5,True,1,18-24,ARTISTIC,BACHELOR,STUDENT,EDUCATION | HEALTH | ARTISTIC,M,
UEFSVEVDSVBBTlRFXzEzMQ==,REGULAR,C,252223,11,7316.587,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5,True,1,1065299.69,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4,True,2,25-34,OTHER,MASTER,EMPLOYEE,ARTISTIC | OTHER,M,BOTH CONTROL QUESTION
UEFSVEVDSVBBTlRFXzEzNA==,REGULAR,A,1736,1,668.498,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4,False,0,494.631,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4,False,0,55-64,HUMANISTIC,HIGH,EMPLOYEE,OTHER,M,
UEFSVEVDSVBBTlRFXzEzNg==,REGULAR,A,13265,2,19927.004,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,1235.242,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6,False,0,18-24,HEALTH,HIGH,STUDENT,HEALTH,M,MANUALLY
UEFSVEVDSVBBTlRFXzEzNQ==,REGULAR,D,8050,7,1244.706,1.0,3.0,1.0,1.0,1.0,1.0,2.0,5,False,0,24582.217,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6,False,0,45-54,OTHER,HIGH,EMPLOYEE,EDUCATION,M,MANUALLY
UEFSVEVDSVBBTlRFXzEzNw==,REGULAR,C,1343,2,-447.836,1.0,3.0,2.0,4.0,2.0,1.0,4.0,2,False,0,187.075,1.0,4.0,1.0,5.0,1.0,5.0,4.0,3,True,2,55-64,EDUCATION,HIGH,EMPLOYEE,EDUCATION,M,NEGATIVE READING TIME
UEFSVEVDSVBBTlRFXzEzOA==,REGULAR,B,-9223372037,1,685.314,1.0,2.0,2.0,4.0,1.0,1.0,2.0,3,False,0,0.0,,,,,,,,0,False,0,65+,EDUCATION,HIGH,RETIRED,OTHER,M,NOT TERMINATED
UEFSVEVDSVBBTlRFXzEzOQ==,REGULAR,B,1690,1,701.297,1.0,4.0,4.0,1.0,1.0,1.0,3.0,4,False,0,442.011,1.0,4.0,3.0,1.0,1.0,2.0,3.0,3,False,0,45-54,OTHER,HIGH,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzg=,ADMINISTRATIVE,D,459,2,188.229,1.0,3.0,1.0,2.0,1.0,3.0,4.0,3,False,0,28.949,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2,False,0,55-64,OTHER,MASTER,EMPLOYEE,OTHER,M,LOW TIME
UEFSVEVDSVBBTlRFXzg0,REGULAR,C,672,1,10.866,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,True,6,618.684,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,True,6,45-54,OTHER,HIGH,EMPLOYEE,IT,M,BOTH CONTROL QUESTION
UEFSVEVDSVBBTlRFXzg1,REGULAR,B,1819,1,303.904,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6,False,0,1270.089,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,25-34,HUMANISTIC,MASTER,UNEMPLOYED,EDUCATION | ARTISTIC,M,
UEFSVEVDSVBBTlRFXzg2,REGULAR,D,1160,1,313.432,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5,True,1,419.291,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5,False,0,55-64,OTHER,MASTER,OTHER,OTHER,M,
UEFSVEVDSVBBTlRFXzg3,REGULAR,B,1522,1,618.005,1.0,2.0,1.0,5.0,2.0,3.0,3.0,2,True,1,454.639,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5,False,0,55-64,SCIENTIFIC,MASTER,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzg4,REGULAR,B,-9223372037,2,1209.91,1.0,1.0,3.0,1.0,1.0,5.0,2.0,4,True,1,5.527,,,,,,,,0,False,0,25-34,HEALTH,MASTER,EMPLOYEE,HEALTH,M,NOT TERMINATED
UEFSVEVDSVBBTlRFXzgw,FOREIGNER,C,2105,1,795.923,1.0,3.0,1.0,1.0,2.0,4.0,3.0,3,False,0,704.015,1.0,2.0,1.0,4.0,1.0,2.0,4.0,3,False,0,35-44,ENGINEERING,PHD,EMPLOYEE,IT,C1,
UEFSVEVDSVBBTlRFXzgx,REGULAR,D,1118,1,539.676,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5,False,0,238.917,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4,False,0,45-54,ENGINEERING,MASTER,EMPLOYEE,ARTISTIC,M,
UEFSVEVDSVBBTlRFXzgy,REGULAR,A,712,1,321.333,1.0,5.0,1.0,4.0,5.0,1.0,4.0,3,True,2,166.133,1.0,5.0,4.0,5.0,5.0,1.0,5.0,2,True,3,25-34,HUMANISTIC,MASTER,EMPLOYEE,OTHER,M,
UEFSVEVDSVBBTlRFXzgz,REGULAR,B,220,1,24.093,3.0,3.0,4.0,4.0,1.0,3.0,3.0,1,False,0,5.564,5.0,3.0,2.0,5.0,5.0,4.0,3.0,0,True,3,45-54,JURIDICAL,MASTER,EMPLOYEE,EDUCATION,M,LOW TIME
UEFSVEVDSVBBTlRFXzk=,ADMINISTRATIVE,C,775,1,149.936,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4,False,0,361.022,1.0,1.0,3.0,2.0,1.0,1.0,3.0,4,False,0,35-44,JURIDICAL,PHD,EMPLOYEE,ADMINISTRATIVE,M,
UEFSVEVDSVBBTlRFXzkw,REGULAR,A,259,1,20.352,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1,False,0,22.403,4.0,4.0,4.0,1.0,5.0,1.0,3.0,2,True,1,65+,OTHER,BACHELOR,EMPLOYEE,EDUCATION,M,LOW TIME
UEFSVEVDSVBBTlRFXzkx,REGULAR,A,1134,1,479.238,1.0,2.0,2.0,1.0,2.0,1.0,4.0,3,False,0,263.514,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6,False,0,55-64,SCIENTIFIC,MASTER,EMPLOYEE,EDUCATION,M,
UEFSVEVDSVBBTlRFXzky,REGULAR,A,7698,2,156.847,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5,False,0,333.651,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6,False,0,18-24,JURIDICAL,HIGH,STUDENT,OTHER,M,
UEFSVEVDSVBBTlRFXzQ0,FOREIGNER,D,3058,1,1014.671,1.0,2.0,1.0,1.0,1.0,1.0,4.0,5,False,0,893.936,1.0,1.0,1.0,2.0,1.0,5.0,4.0,4,True,1,18-24,OTHER,HIGH,STUDENT,EDUCATION,B1,
UEFSVEVDSVBBTlRFXzQ1,FOREIGNER,B,3668,1,1368.002,1.0,3.0,1.0,1.0,1.0,1.0,4.0,5,False,0,1058.75,1.0,4.0,1.0,3.0,1.0,1.0,5.0,4,False,0,18-24,HUMANISTIC,HIGH,STUDENT,EDUCATION,B1,
UEFSVEVDSVBBTlRFXzQ3,FOREIGNER,A,1723,1,550.88,1.0,3.0,1.0,1.0,2.0,3.0,4.0,3,False,0,546.117,1.0,4.0,1.0,2.0,1.0,3.0,4.0,3,False,0,18-24,OTHER,HIGH,STUDENT,EDUCATION,B2,
UEFSVEVDSVBBTlRFXzQy,FOREIGNER,B,1709,1,571.499,2.0,3.0,2.0,4.0,2.0,1.0,4.0,1,False,0,550.211,1.0,1.0,1.0,3.0,1.0,1.0,4.0,5,False,0,55-64,HUMANISTIC | EDUCATION,MASTER,EMPLOYEE,EDUCATION,B2,
UEFSVEVDSVBBTlRFXzU=,ADMINISTRATIVE,C,1053,1,199.031,1.0,1.0,2.0,4.0,2.0,5.0,4.0,2,True,1,379.787,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4,False,0,55-64,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M,
UEFSVEVDSVBBTlRFXzU1,FOREIGNER,C,709,1,22.162,2.0,5.0,2.0,5.0,1.0,5.0,4.0,1,True,3,74.442,1.0,3.0,4.0,1.0,5.0,2.0,2.0,2,True,1,35-44,OTHER,HIGH,EMPLOYEE,SALES,B2,BOTH CONTROL QUESTION
UEFSVEVDSVBBTlRFXzUw,FOREIGNER,A,1262,1,620.984,1.0,3.0,2.0,1.0,1.0,1.0,5.0,4,False,0,242.522,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,45-54,HUMANISTIC,BACHELOR,EMPLOYEE,OTHER,B2,
UEFSVEVDSVBBTlRFXzUx,FOREIGNER,B,2483,2,1157.067,1.0,3.0,4.0,1.0,1.0,1.0,2.0,4,False,0,612.7,1.0,1.0,1.0,4.0,1.0,1.0,3.0,5,False,0,25-34,HUMANISTIC,BACHELOR,UNEMPLOYED,EDUCATION,C2,
UEFSVEVDSVBBTlRFXzUy,FOREIGNER,A,-9223372037,4,41.841,,,,,,,,0,False,0,0.0,,,,,,,,0,False,0,35-44,OTHER,BACHELOR,EMPLOYEE,OTHER,B1,NOT TERMINATED
UEFSVEVDSVBBTlRFXzY=,ADMINISTRATIVE,D,699,1,193.517,1.0,3.0,2.0,1.0,1.0,1.0,4.0,4,False,0,247.971,1.0,1.0,2.0,2.0,1.0,5.0,4.0,3,True,1,45-54,JURIDICAL,MASTER,EMPLOYEE,EDUCATION,M,
